gnr;jahr;dim;wert
1051;1981;21;6.82
1051;1981;22;-0.50
1052;1981;21;-3.37
1052;1981;22;1.39
1053;1981;21;-6.70
1053;1981;22;0.79
1054;1981;21;0.82
1054;1981;22;0.54
1055;1981;21;-5.68
1055;1981;22;8.24
1056;1981;21;-8.44
1056;1981;22;15.03
1057;1981;21;-20.41
1057;1981;22;12.71
1058;1981;21;1.74
1058;1981;22;-0.95
1059;1981;21;-1.01
1059;1981;22;-5.28
1061;1981;21;2.29
1061;1981;22;-4.02
1062;1981;21;-7.12
1062;1981;22;6.33
1063;1981;21;3.37
1063;1981;22;6.11
1064;1981;21;-9.43
1064;1981;22;5.64
1065;1981;21;-11.10
1065;1981;22;2.98
1066;1981;21;-13.55
1066;1981;22;11.89
1067;1981;21;-1.40
1067;1981;22;6.25
1068;1981;21;-4.24
1068;1981;22;5.52
1069;1981;21;-4.79
1069;1981;22;10.17
1081;1981;21;-5.16
1081;1981;22;12.08
1082;1981;21;-5.96
1082;1981;22;8.49
1083;1981;21;-6.66
1083;1981;22;12.78
1084;1981;21;0.72
1084;1981;22;12.24
1085;1981;21;-4.30
1085;1981;22;4.94
1086;1981;21;-7.04
1086;1981;22;14.49
1088;1981;21;2.00
1088;1981;22;11.22
1089;1981;21;-8.01
1089;1981;22;8.01
1091;1981;21;-10.88
1091;1981;22;11.64
1093;1981;21;-6.38
1093;1981;22;10.07
1094;1981;21;-5.54
1094;1981;22;9.64
1095;1981;21;-8.97
1095;1981;22;7.78
1097;1981;21;-5.60
1097;1981;22;12.49
1098;1981;21;-7.43
1098;1981;22;11.00
1099;1981;21;-4.99
1099;1981;22;9.83
1100;1981;21;-10.32
1100;1981;22;13.04
1102;1981;21;2.94
1102;1981;22;7.28
1103;1981;21;-0.94
1103;1981;22;3.16
1104;1981;21;-8.55
1104;1981;22;8.79
1107;1981;21;-1.81
1107;1981;22;3.26
1121;1981;21;-11.45
1121;1981;22;12.70
1122;1981;21;-5.62
1122;1981;22;13.07
1123;1981;21;-3.14
1123;1981;22;6.94
1125;1981;21;-7.69
1125;1981;22;8.89
1126;1981;21;-16.41
1126;1981;22;14.92
1127;1981;21;-8.57
1127;1981;22;12.55
1128;1981;21;-3.53
1128;1981;22;11.39
1129;1981;21;-10.79
1129;1981;22;10.73
1130;1981;21;-10.52
1130;1981;22;11.50
1131;1981;21;-12.48
1131;1981;22;12.83
1132;1981;21;-6.22
1132;1981;22;11.41
1135;1981;21;-12.14
1135;1981;22;15.46
1136;1981;21;-9.89
1136;1981;22;11.03
1137;1981;21;-2.53
1137;1981;22;8.87
1139;1981;21;-2.78
