kt;jahr;dim;wert
"AR";2000;22;6.16
"BE";2000;21;1.03
"BE";2000;22;0.51
"BL";2000;21;2.13
"BL";2000;22;0.98
"BS";2000;21;5.29
"BS";2000;22;-4.48
"FR";2000;21;1.78
"FR";2000;22;-5.47
"GE";2000;21;7.54
"GE";2000;22;-12.01
"GL";2000;21;-7.76
"GL";2000;22;6.09
"GR";2000;21;-2.25
"GR";2000;22;2.59
"JU";2000;21;2.09
"JU";2000;22;-17.00
"LU";2000;21;-2.20
"LU";2000;22;5.10
"NE";2000;21;4.54
"NE";2000;22;-11.32
"NW";2000;21;-4.33
"NW";2000;22;8.73
"OW";2000;21;-4.48
"OW";2000;22;8.16
"SG";2000;21;-4.52
"SG";2000;22;5.93
"SH";2000;21;-4.67
"SH";2000;22;1.19
"SO";2000;21;-2.50
"SO";2000;22;2.21
